long,lat,group,party,over_under
-115.5466869,26.73582193,AK.1,R,U
-115.44898084,26.72284496,AK.1,R,U
-115.44137734,26.75853478,AK.1,R,U
-115.34130401,26.73226618,AK.1,R,U
-115.29374919,26.80218191,AK.1,R,U
-115.17697906,26.83271951,AK.1,R,U
-115.18029252,26.72916207,AK.1,R,U
-115.06895256,26.68351879,AK.1,R,U
-115.04384921,26.63745283,AK.1,R,U
-114.79749596,26.48682944,AK.1,R,U
-114.74394807,26.36973395,AK.1,R,U
-114.63586903,26.49860963,AK.1,R,U
-114.59101634,26.50937841,AK.1,R,U
-114.58083071,26.55213513,AK.1,R,U
-114.57845556,26.56214928,AK.1,R,U
-114.59500428,26.62863199,AK.1,R,U
-114.5549102,26.66111696,AK.1,R,U
-114.58355942,26.68384309,AK.1,R,U
-114.47512954,26.76827688,AK.1,R,U
-114.43183666,26.80236576,AK.1,R,U
-114.31942089,26.74090112,AK.1,R,U
-114.3112926,26.70520205,AK.1,R,U
-114.32085222,26.6851786,AK.1,R,U
-114.2970563,26.6772127,AK.1,R,U
-114.29035045,26.66305797,AK.1,R,U
-114.27890142,26.63893619,AK.1,R,U
-114.22314914,26.64007311,AK.1,R,U
-114.1877907,26.60559078,AK.1,R,U
-114.16660084,26.61006106,AK.1,R,U
-114.12478574,26.55859897,AK.1,R,U
-114.09628154,26.52374231,AK.1,R,U
-113.99921159,26.5001912,AK.1,R,U
-113.89147003,26.42642642,AK.1,R,U
-113.85848339,26.36558667,AK.1,R,U
